event_id,event_date,event_type,event_name,symbol,car,t_stat,p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_pvalue,estimation_n
5,2019-08-05,Infra_Positive,Litecoin second halving,BTC,-0.11033468195452392,-0.5057054528182304,0.6136687211869662,-0.5179489445686005,0.306025235817355,0.5732,185
5,2019-08-05,Infra_Positive,Litecoin second halving,ETH,-0.33802788067780465,-1.2591863111028376,0.20955810211950698,-0.7505033022018573,0.03191556390024084,0.092,185
5,2019-08-05,Infra_Positive,Litecoin second halving,ADA,-0.4095658561017911,-1.3270300354051763,0.1861431240834126,-0.8482063435515386,0.03823769857334297,0.064,185
8,2020-05-11,Infra_Positive,Bitcoin third halving (12.5 → 6.25 BTC),BTC,0.14361188175988085,0.5460665198999728,0.5855071701459442,-0.29947651791328184,0.5820758651506796,0.5284,251
8,2020-05-11,Infra_Positive,Bitcoin third halving (12.5 → 6.25 BTC),ETH,0.2076322670745131,0.6355638330690153,0.5256420820226873,-0.2434070720058688,0.6685459749603863,0.3668,251
8,2020-05-11,Infra_Positive,Bitcoin third halving (12.5 → 6.25 BTC),ADA,0.6099315791828509,1.9082407351270474,0.05750555893049181,-0.02747923779022574,1.3974971326701282,0.0788,251
11,2020-12-01,Infra_Positive,Ethereum 2.0 Beacon Chain genesis (PoS phase 0),BTC,0.3801775198188976,1.5003401696599927,0.1347881365781416,-0.06706198731556887,0.8068656728566272,0.0928,251
11,2020-12-01,Infra_Positive,Ethereum 2.0 Beacon Chain genesis (PoS phase 0),ETH,0.1853031109383796,0.560143100933058,0.5758834105362258,-0.36756947591964434,0.6642145839248563,0.498,251
11,2020-12-01,Infra_Positive,Ethereum 2.0 Beacon Chain genesis (PoS phase 0),ADA,0.10832725356773248,0.2970194016725675,0.7666983299795487,-0.6650831813960753,0.8777456496651636,0.7536,251
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,BTC,0.017407464280162155,0.06307938209668516,0.9497536967909928,-0.33442800855203736,0.3850820255842573,0.9244,251
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,ETH,0.1774899982492224,0.4761337532727924,0.6343949223218208,-0.2843459645282802,0.7250084031499693,0.4916,251
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,SOL,0.9868555948230289,1.6793107188451826,0.09434079279383578,0.1649661576719546,1.9288640511250252,0.0212,251
17,2021-08-05,Infra_Positive,Ethereum London hard fork (EIP-1559) activates,ADA,0.36274527994697037,0.7699353520221038,0.4420651436370817,-0.3124420827910371,1.149292217464893,0.3408,251
26,2022-09-15,Infra_Positive,Ethereum Merge: full transition to proof-of-stake,BTC,-0.018158122415723538,-0.08596762508982402,0.931560962891993,-0.3449249589372823,0.23254307534740673,0.9264,251
26,2022-09-15,Infra_Positive,Ethereum Merge: full transition to proof-of-stake,ETH,-0.1957659576708408,-0.7040451814694495,0.4820598948409023,-0.6700388002399036,0.17815254968959943,0.3736,251
26,2022-09-15,Infra_Positive,Ethereum Merge: full transition to proof-of-stake,SOL,0.013528399170820715,0.0379456569706108,0.969761293032249,-0.4491741850418967,0.4252284803715137,0.9332,251
26,2022-09-15,Infra_Positive,Ethereum Merge: full transition to proof-of-stake,ADA,-0.2291269820686148,-0.7071532382529445,0.48012988746357843,-0.5453404975296844,0.04658439968132919,0.114,251
39,2024-04-20,Infra_Positive,Bitcoin fourth halving (6.25 → 3.125 BTC),BTC,-0.021252497146077742,-0.14244081502060307,0.8868465536653158,-0.33801973476817976,0.35156331429779764,0.8796,251
39,2024-04-20,Infra_Positive,Bitcoin fourth halving (6.25 → 3.125 BTC),ETH,0.08339291628058812,0.5296369058667295,0.5968337171558256,-0.266349339323047,0.7952578209620714,0.7644,251
39,2024-04-20,Infra_Positive,Bitcoin fourth halving (6.25 → 3.125 BTC),SOL,-0.07914293059964794,-0.26880208726876464,0.7883036791998901,-0.6284995601789275,0.472834277404301,0.7748,251
39,2024-04-20,Infra_Positive,Bitcoin fourth halving (6.25 → 3.125 BTC),ADA,-0.01986711485568543,-0.0889247405126723,0.929212915916134,-0.3475327249112904,0.37116503790715927,0.908,251
